outer_fold,held_out_doi,repetition,selected_p,mae_p4,mae_p5,mae_p6
1,10.1016/0378-7753(91)80004-H,10,4,0.007966854111225262,0.009340555935378959,0.012501183067476265
1,10.1016/0378-7753(91)80004-H,11,4,0.011220449243735645,0.015074010799186669,0.019167002429606086
1,10.1016/0378-7753(91)80004-H,12,4,0.011759588408377335,0.01690284432883336,0.02361700528614899
1,10.1016/0378-7753(91)80004-H,13,4,0.009750134077377773,0.012187707868259822,0.015763901100213598
1,10.1016/0378-7753(91)80004-H,14,4,0.008124007897689462,0.01123057820949882,0.014595411651744545
1,10.1016/0378-7753(91)80004-H,15,4,0.01026514061193377,0.013784550465009843,0.01709851297565291
1,10.1016/0378-7753(91)80004-H,16,4,0.008594391473183655,0.011171719130486292,0.013073170606414932
1,10.1016/0378-7753(91)80004-H,17,4,0.008753879913524667,0.01088456920543402,0.013936432067159102
1,10.1016/0378-7753(91)80004-H,18,4,0.011520844024218236,0.013776363509979744,0.018541525450658087
1,10.1016/0378-7753(91)80004-H,19,4,0.013022376967576027,0.019099852289413587,0.02699817657999397
2,10.1016/S0013-4686(99)00431-4,0,4,0.009732566657688768,0.01324578207896289,0.016527619400982557
2,10.1016/S0013-4686(99)00431-4,1,4,0.010442336398547448,0.01275798938798081,0.015385906041512479
2,10.1016/S0013-4686(99)00431-4,2,4,0.011037745543088867,0.011724370392113834,0.012376240996133575
2,10.1016/S0013-4686(99)00431-4,3,4,0.011037243033041572,0.014717359002568944,0.018951722554046976
2,10.1016/S0013-4686(99)00431-4,4,4,0.011040422424523624,0.012102481846285228,0.013430523605429108
2,10.1016/S0013-4686(99)00431-4,5,4,0.01147257453905502,0.01519828051630634,0.01948725643983056
2,10.1016/S0013-4686(99)00431-4,6,4,0.010569032124270551,0.015772233564869242,0.02104004713065501
2,10.1016/S0013-4686(99)00431-4,7,4,0.015030320846694603,0.017677814604232265,0.022648235177875925
2,10.1016/S0013-4686(99)00431-4,8,4,0.012283504527257657,0.01530743297643468,0.01932374649047445
2,10.1016/S0013-4686(99)00431-4,9,4,0.007971275886384794,0.00883240539831981,0.00954397110646337
2,10.1016/S0013-4686(99)00431-4,10,4,0.011238906620035669,0.01629687313594032,0.02180620014470418
2,10.1016/S0013-4686(99)00431-4,11,4,0.011147883333228364,0.011899403400233198,0.013425432529450254
2,10.1016/S0013-4686(99)00431-4,12,4,0.011768971268071875,0.015580847166717107,0.01910029102330893
2,10.1016/S0013-4686(99)00431-4,13,4,0.010308705991951252,0.013409401518266658,0.018030283988207194
2,10.1016/S0013-4686(99)00431-4,14,4,0.007885875327275084,0.008449321834595512,0.009121553460160735
2,10.1016/S0013-4686(99)00431-4,15,4,0.011585404125598282,0.017226886489165958,0.02198673157544249
2,10.1016/S0013-4686(99)00431-4,16,4,0.014176058571079389,0.016148944690134576,0.021617790954873418
2,10.1016/S0013-4686(99)00431-4,17,4,0.011731017327704511,0.017398918346986196,0.02233475399421429
